,title,author,city,country,page,city_country,city_location,country_location,city_country_location,best_location,lat,lon,address
0,"Ducks, Newburyport",,Newburyport,,"Ducks, Newburyport",,"Newburyport, Essex County, Massachusetts, 01950, United States",,,"Newburyport, Essex County, Massachusetts, 01950, United States",42.8132845,-70.8819188,"Newburyport, Essex County, Massachusetts, 01950, United States"
20,The Comfort of Strangers,Ian McEwan,Venice,,The Comfort of Strangers,,"Venezia, Veneto, 30121-30176, Italia",,,"Venezia, Veneto, 30121-30176, Italia",45.4371908,12.3345898,"Venezia, Veneto, 30121-30176, Italia"
29,The Unlikely Pilgrimage of Harold Fry,Rachel Joyce,Berwick,,The Unlikely Pilgrimage of Harold Fry,,"Berwick-upon-Tweed, Northumberland, North of Tyne, England, United Kingdom",,,"Berwick-upon-Tweed, Northumberland, North of Tyne, England, United Kingdom",55.7692442,-2.0026472,"Berwick-upon-Tweed, Northumberland, North of Tyne, England, United Kingdom"
46,If Nobody Speaks of Remarkable Things,Jon McGregor,Bradford,,If Nobody Speaks of Remarkable Things,,"Bradford, West Yorkshire, England, United Kingdom",,,"Bradford, West Yorkshire, England, United Kingdom",53.7944229,-1.7519186,"Bradford, West Yorkshire, England, United Kingdom"
68,The Birds on the Trees,Nina Bawden,London,,The Birds on the Trees,,"London, Greater London, England, United Kingdom",,,"London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
90,The Fortune Men,Nadifa Mohamed,Cardiff,,The Fortune Men,,"Cardiff, Cymru / Wales, CF10 2AF, United Kingdom",,,"Cardiff, Cymru / Wales, CF10 2AF, United Kingdom",51.4816546,-3.1791934,"Cardiff, Cymru / Wales, CF10 2AF, United Kingdom"
95,Nice Work,David Lodge,Rummidge,,Nice Work,,,,,,,,
117,Breakfast on Pluto,Patrick McCabe,Piccadilly Circus,,Breakfast on Pluto,,"Piccadilly Circus, Saint Giles, Bloomsbury, City of Westminster, Greater London, England, W1J 9HT, United Kingdom",,,"Piccadilly Circus, Saint Giles, Bloomsbury, City of Westminster, Greater London, England, W1J 9HT, United Kingdom",51.5097922,-0.13442883634595293,"Piccadilly Circus, Saint Giles, Bloomsbury, City of Westminster, Greater London, England, W1J 9HT, United Kingdom"
130,Bruno's Dream,Iris Murdoch,London,,Bruno's Dream,,"London, Greater London, England, United Kingdom",,,"London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
173,I'll Go to Bed at Noon,Gerard Woodward,Palmers Green,,I'll Go to Bed at Noon,,"Palmers Green, London Borough of Enfield, London, Greater London, England, N13 4PX, United Kingdom",,,"Palmers Green, London Borough of Enfield, London, Greater London, England, N13 4PX, United Kingdom",51.6222544,-0.1127378,"Palmers Green, London Borough of Enfield, London, Greater London, England, N13 4PX, United Kingdom"
198,His Bloody Project: Documents relating to the case of Roderick Macrae,Graeme Macrae Burnet,Culduie,,His Bloody Project,,"Culduie, Highland, Alba / Scotland, IV54 8LX, United Kingdom",,,"Culduie, Highland, Alba / Scotland, IV54 8LX, United Kingdom",57.3960516,-5.8030235,"Culduie, Highland, Alba / Scotland, IV54 8LX, United Kingdom"
211,The Children of Dynmouth,William Trevor,Dynmouth,,The Children of Dynmouth,,,,,,,,
223,Woodstock,,Woodstock,,Woodstock (novel),,"Woodstock, McHenry County, Illinois, 60098, United States",,,"Woodstock, McHenry County, Illinois, 60098, United States",42.3147529,-88.4474302,"Woodstock, McHenry County, Illinois, 60098, United States"
226,An Instance of the Fingerpost,Iain Pears,Oxford,,An Instance of the Fingerpost,,"Oxford, Oxfordshire, England, United Kingdom",,,"Oxford, Oxfordshire, England, United Kingdom",51.7520131,-1.2578499,"Oxford, Oxfordshire, England, United Kingdom"
249,The Finkler Question,Howard Jacobson,London,,The Finkler Question,,"London, Greater London, England, United Kingdom",,,"London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
293,On Chesil Beach,Ian McEwan,Dorset,,On Chesil Beach,,"Dorset, England, United Kingdom",,,"Dorset, England, United Kingdom",50.79683685,-2.34473226124306,"Dorset, England, United Kingdom"
294,I'm the King of the Castle,Susan Hill,Leydell,,I'm the King of the Castle,,,,,,,,
339,The Good Apprentice,Iris Murdoch,London,,The Good Apprentice,,"London, Greater London, England, United Kingdom",,,"London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
341,Thyl Ulenspiegel,Joost van der Vondel,Damme,,The Legend of Thyl Ulenspiegel and Lamme Goedzak,,"Damme, Brugge, West-Vlaanderen, België / Belgique / Belgien",,,"Damme, Brugge, West-Vlaanderen, België / Belgique / Belgien",51.2553021,3.2920911130761956,"Damme, Brugge, West-Vlaanderen, België / Belgique / Belgien"
346,The Old Devils,Kingsley Amis,Wales,,The Old Devils,,"Cymru / Wales, United Kingdom",,,"Cymru / Wales, United Kingdom",52.2928116,-3.73893,"Cymru / Wales, United Kingdom"
354,The Count of Monte Cristo,Alexandre Dumas,Paris,,The Count of Monte Cristo,,"Paris, Île-de-France, France métropolitaine, France",,,"Paris, Île-de-France, France métropolitaine, France",48.8534951,2.3483915,"Paris, Île-de-France, France métropolitaine, France"
368,Nightcrawling,Leila Mottley,Oakland,,Nightcrawling,,"Oakland, Alameda County, California, United States",,,"Oakland, Alameda County, California, United States",37.8044557,-122.271356,"Oakland, Alameda County, California, United States"
399,To Rise Again at a Decent Hour,Joshua Ferris,New York City,,To Rise Again at a Decent Hour,,"City of New York, New York, United States",,,"City of New York, New York, United States",40.7127281,-74.0060152,"City of New York, New York, United States"
406,Vernon God Little,DBC Pierre,Martirio,,Vernon God Little,,"Martirio, Palmira, Cantón de Cañas, Provincia de Guanacaste, 50602, Costa Rica",,,"Martirio, Palmira, Cantón de Cañas, Provincia de Guanacaste, 50602, Costa Rica",10.6232733,-85.0512956,"Martirio, Palmira, Cantón de Cañas, Provincia de Guanacaste, 50602, Costa Rica"
453,Loitering with Intent,Muriel Spark,London,,Loitering with Intent,,"London, Greater London, England, United Kingdom",,,"London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
479,A Body in the Bath House,Lindsey Davis,Rome and Britannia,,A Body in the Bath House,,,,,,,,
528,The Road To Lichfield,Penelope Lively,Lichfield,,The Road to Lichfield,,"Lichfield, Staffordshire, England, United Kingdom",,,"Lichfield, Staffordshire, England, United Kingdom",52.68064,-1.8243991722405983,"Lichfield, Staffordshire, England, United Kingdom"
570,A Long Long Way,Sebastian Barry,Flanders,,A Long Long Way,,"Vlaanderen, België / Belgique / Belgien",,,"Vlaanderen, België / Belgique / Belgien",51.096246199999996,4.178629103169916,"Vlaanderen, België / Belgique / Belgien"
589,Il gattopardo,,Palma di Montechiaro,,The Leopard,,"Palma di Montechiaro, Agrigento, Sicilia, 92044, Italia",,,"Palma di Montechiaro, Agrigento, Sicilia, 92044, Italia",37.1916637,13.7637141,"Palma di Montechiaro, Agrigento, Sicilia, 92044, Italia"
591,Hotel du Lac,Anita Brookner,Lake Geneva,,Hotel du Lac,,"Le Léman, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, France",,,"Le Léman, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, France",46.361350200000004,6.393247037248148,"Le Léman, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, France"
612,A fekete város,Kálmán Mikszáth,Levoča,,A fekete város,,"Levoča, okres Levoča, Prešovský kraj, Východné Slovensko, 054 01, Slovensko",,,"Levoča, okres Levoča, Prešovský kraj, Východné Slovensko, 054 01, Slovensko",49.0251116,20.587999,"Levoča, okres Levoča, Prešovský kraj, Východné Slovensko, 054 01, Slovensko"
633,Judith,Brian Cleeve,London,,Judith (novel),,"London, Greater London, England, United Kingdom",,,"London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
641,Grace Notes,Bernard MacLaverty,Scotland,,Grace Notes,,"Alba / Scotland, United Kingdom",,,"Alba / Scotland, United Kingdom",56.7861112,-4.1140518,"Alba / Scotland, United Kingdom"
647,Barnaby Rudge,,London,,Barnaby Rudge: A Tale of the Riots of 'Eighty,,"London, Greater London, England, United Kingdom",,,"London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
671,The Essence of the Thing,Madeleine St John,London,,The Essence of the Thing,,"London, Greater London, England, United Kingdom",,,"London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
3,The Famished Road,Ben Okri,,Nigeria,The Famished Road,,,,,,,,
6,Bring Larks and Heroes,Thomas Keneally,,Australia,Bring Larks and Heroes,,,,,,,,
10,The Colour of Blood,Brian Moore,,Poland,The Colour of Blood,,,,,,,,
14,The Last Empress,Anchee Min,,China,The Last Empress (novel),,,,,,,,
15,"Fasting, Feasting",Anita Desai,,India,"Fasting, Feasting",,,,,,,,
36,As minas de prata,José de Alencar,,Brazil,As Minas de Prata,,,,,,,,
40,Shahab Nama,Qudrat Ullah Shahab,,Pakistan,Shahab Nama,,,,,,,,
43,Devil's Brood,Sharon Kay Penman,,England,The Devil's Brood,,,,,,,,
45,The Family,Mario Puzo,,Italy,The Family (Mario Puzo novel),,,,,,,,
47,Angélique,Anne Golon,,France,Angelique (French series),,,,,,,,
53,Lies of Silence,Brian Moore,,Northern Ireland,Lies of Silence,,,,,,,,
55,The Memoirs of Cleopatra,Margaret George,,Egypt,The Memoirs of Cleopatra,,,,,,,,
56,The Baroque Cycle,Neal Stephenson,,Europe,The Baroque Cycle,,,,,,,,
59,The Woman Who Had Two Navels,Nick Joaquín,,Philippines,The Woman Who had Two Navels,,,,,,,,
60,The Afghan Campaign,Steven Pressfield,,Afghanistan,The Afghan Campaign,,,,,,,,
67,The Redundancy of Courage,Timothy Mo,,Danu,The Redundancy of Courage,,,,,,,,
70,The Forest House,Marion Zimmer Bradley and Diana L. Paxson,,Britain,The Forest House,,,,,,,,
72,The Lotus Eaters,Tatjana Soli,,Vietnam,The Lotus Eaters (novel),,,,,,,,
77,The Spinning Heart,Donal Ryan,,Ireland,The Spinning Heart,,,,,,,,
79,Jalna,Mazo de la Roche,,Canada,Jalna (novel series),,,,,,,,
81,The March: A Novel,E. L. Doctorow,,United States,The March (novel),,,,,,,,
84,The Curious Incident of the Dog in the Night-Time,Mark Haddon,,UK,The Curious Incident of the Dog in the Night-Time,,,,,,,,
85,Solomon Gursky Was Here,Mordecai Richler,,Canada,Solomon Gursky Was Here,,,,,,,,
88,Unless,Carol Shields,,Canada,Unless,,,,,,,,
89,We Need New Names,NoViolet Bulawayo,,Zimbabwe,We Need New Names,,,,,,,,
91,Dirt Music,Tim Winton,,Australia,Dirt Music,,,,,,,,
94,The English Patient,Michael Ondaatje,,North Africa,The English Patient,,,,,,,,
96,The Islands of Unwisdom,Robert Graves,,Solomon Islands,The Islands of Unwisdom,,,,,,,,
97,Theft: A Love Story,Peter Carey,,Australia,Theft: A Love Story,,,,,,,,
99,Max Havelaar of De koffiveilingen der Nederlandsche Handelmaatschappij,Multatuli,,Netherlands,Max Havelaar,,,,,,,,
100,An Instant in the Wind,André Brink,,South Africa,An Instant in the Wind,,,,,,,,
105,Shōgun,James Clavell,,Japan,Shōgun (novel),,,,,,,,
109,Child 44,Tom Rob Smith,,Soviet Union,Child 44,,,,,,,,
113,Jonathan Strange & Mr Norrell,Susanna Clarke,,England,Jonathan Strange & Mr Norrell,,,,,,,,
114,Hunger's Brides,W. Paul Anderson,,Mexico,Hunger's Brides,,,,,,,,
115,Here Be Dragons,Sharon Kay Penman,,Wales,Here Be Dragons,,,,,,,,
118,Illywhacker,Peter Carey,,Australia,Illywhacker,,,,,,,,
119,Cold Mountain,Charles Frazier,,USA,Cold Mountain (novel),,,,,,,,
125,Anthills of the Savannah,Chinua Achebe,,West Africa,Anthills of the Savannah,,,,,,,,
133,Memoirs of Hadrian,Marguerite Yourcenar,,Roman Empire,Memoirs of Hadrian,,,,,,,,
138,Small Things like These,Claire Keegan,,Ireland,Small Things Like These,,,,,,,,
144,Empire of the Moghul,Alex Rutherford (pen name for Diana and Michael Preston),,India,Empire of the Moghul,,,,,,,,
148,The Dream of the Red Chamber,,,China,The Story of the Stone,,,,,,,,
151,The Deer and the Cauldron,,,China,The Deer and the Cauldron,,,,,,,,
156,If I Survive You,Jonathan Escoffery,,United States,If I Survive You,,,,,,,,
160,Cartucho,Nellie Campobello,,Mexico,Cartucho,,,,,,,,
167,The Knights of the Cross,Henryk Sienkiewicz,,Poland,The Knights of the Cross,,,,,,,,
176,The Greenlanders,Jane Smiley,,Greenland,The Greenlanders,,,,,,,,
178,The Home and the World,Rabindranath Tagore,,India,The Home and the World,,,,,,,,
183,Les Misérables,"{'name': 'The author of this book had in his hands, in 1848, the special report on this subject made to the Prefect of Police in 1832.'}",,France,Les Misérables,,,,,,,,
186,The Life of Klim Samgin,Maksim Gorky,,Russia,The Life of Klim Samgin,,,,,,,,
187,The Orenda,,,Canada,The Orenda,,,,,,,,
188,The Glory,Herman Wouk,,Israel,The Glory,,,,,,,,
190,Russka,Edward Rutherfurd,,Russia,Russka (novel),,,,,,,,
192,Silence,Shūsaku Endō,,Japan,Silence (Endō novel),,,,,,,,
207,The Red Badge of Courage,Stephen Crane,,United States,The Red Badge of Courage,,,,,,,,
209,The Hope,Herman Wouk,,Israel,The Hope (novel),,,,,,,,
210,And Quiet Flows the Don,Mikhail Aleksandrovich Sholokhov,,Russia,And Quiet Flows the Don,,,,,,,,
212,The Fort,Bernard Cornwell,,United States,The Fort (novel),,,,,,,,
214,The Haj,Leon Uris,,Near East,The Haj (novel),,,,,,,,
224,English Passengers,Matthew Kneale,,Tasmania,English Passengers,,,,,,,,
225,Redgauntlet,Walter Scott,,Scotland,Redgauntlet,,,,,,,,
242,The Book of Evidence,John Banville,,Ireland,The Book of Evidence,,,,,,,,
244,In a Strange Room,Damon Galgut,,South Africa,In a Strange Room,,,,,,,,
246,War and Peace,Leo Tolstoy,,Russia,War and Peace,,,,,,,,
250,"Life in the Argentine Republic in the Days of the Tyrants; or, Civilization and Barbarism",Domingo Sarmiento,,Argentina,Facundo,,,,,,,,
253,The Riders,Tim Winton,,Ireland,The Riders,,,,,,,,
254,Child of All Nations,Pramoedya Ananta Toer,,Indonesia,Anak Semua Bangsa,,,,,,,,
258,El Conde Lucanor,Don Juan Manuel,,Spain,Tales of Count Lucanor,,,,,,,,
259,River God,Wilbur Smith,,Egypt,River God,,,,,,,,
260,The Remains of the Day,Kazuo Ishiguro,,United Kingdom,The Remains of the Day,,,,,,,,
263,Figures in a Landscape,Barry England,,Unnamed country in the tropics,Figures in a Landscape,,,,,,,,
264,The Big Chapel,Thomas Kilroy,,Ireland,The Big Chapel,,,,,,,,
267,The Tale of the Heike,Unknown (Wikipedia article about a book),,Japan,The Tale of the Heike,,,,,,,,
274,Captain Blood,Rafael Sabatini,,Caribbean,Captain Blood (novel),,,,,,,,
287,Iracema,José de Alencar,,Brazil,Iracema,,,,,,,,
289,Les Rois maudits,Maurice Druon,,France,Les Rois maudits,,,,,,,,
304,Count Belisarius,Robert Graves,,Byzantine Empire,Count Belisarius,,,,,,,,
309,An Artist of the Floating World,Kazuo Ishiguro,,Japan,An Artist of the Floating World,,,,,,,,
312,My Theodosia,Anya Seton,,United States,My Theodosia,,,,,,,,
314,The Lost Dog,Michelle de Kretser,,Australia,The Lost Dog,,,,,,,,
316,Ninety-Three,Victor Hugo,,France,Ninety-Three,,,,,,,,
317,Kristin Lavransdatter,Sigrid Undset,,Norway,Kristin Lavransdatter,,,,,,,,
320,If Nobody Speaks of Remarkable Things,Jon McGregor,,UK,Reservoir 13,,,,,,,,
324,Rumours of Rain,André Brink,,South Africa,Rumours of Rain,,,,,,,,
335,The Known World,Edward P. Jones,,USA,Chesapeake (novel),,,,,,,,
340,A Place of Greater Safety,Hilary Mantel,,France,A Place of Greater Safety,,,,,,,,
351,Whirlwind,James Clavell,,Iran,Whirlwind (novel),,,,,,,,
359,A Spell of Good Things,Ayọ̀bámi Adébáyọ̀,,Nigeria,A Spell of Good Things,,,,,,,,
360,The Seven Moons of Maali Almeida,Shehan Karunatilaka,,Sri Lanka,The Seven Moons of Maali Almeida,,,,,,,,
361,The Fencing Master,Arturo Pérez-Reverte,,Spain,The Fencing Master,,,,,,,,
362,Black Dogs,Ian McEwan,,France,Black Dogs,,,,,,,,
376,Cézanne's Quarry,Barbara Corrado Pope,,France,Cézanne’s Quarry,,,,,,,,
379,Royal Flash,George MacDonald Fraser,,Asia,Flashman (novel),,,,,,,,
382,The Sunne in Splendour,Sharon Kay Penman,,England,The Sunne in Splendour,,,,,,,,
401,The Red Wheel,Aleksandr Solzhenitsyn,,Russia,The Red Wheel,,,,,,,,
405,Musashi,Eiji Yoshikawa,,Japan,Musashi (novel),,,,,,,,
407,I promessi sposi,Alessandro Manzoni,,Italy,The Betrothed (Manzoni novel),,,,,,,,
408,The Episodios Nacionales,Benito Pérez Galdós,,Spain,Episodios Nacionales,,,,,,,,
410,A Brief History of Seven Killings,Marlon James,,Jamaica,A Brief History of Seven Killings,,,,,,,,
411,Lion of Ireland,Morgan Llywelyn,,Ireland,Lion of Ireland,,,,,,,,
414,Khaak Aur Khoon,Nasīm Ḥijāzī,,Pakistan,Khaak aur Khoon,,,,,,,,
419,Masters of Rome,Colleen McCullough,,Rome,Masters of Rome,,,,,,,,
441,Shadow Sisters,unknown (as per Wikipedia article),,China,Chia Black Dragon,,,,,,,,
442,God on the Rocks,Jane Gardam,,England,God on the Rocks,,,,,,,,
455,Wolf Hall,Hilary Mantel,,England,Wolf Hall,,,,,,,,
456,Maps for Lost Lovers,Nadeem Aslam,,England,Maps for Lost Lovers,,,,,,,,
458,The Year of the Runaways,Sunjeev Sahota,,UK,The Year of the Runaways,,,,,,,,
459,Babouk,Guy Endore,,US,Babouk,,,,,,,,
461,The Colony of Unrequited Dreams,Wayne Johnston,,Canada,The Colony of Unrequited Dreams,,,,,,,,
471,Chanakya's Chant,Ashwin Sanghi,,India,Chanakya's Chant,,,,,,,,
474,Romance of the Three Kingdoms,Luo Guanzhong,,China,Romance of the Three Kingdoms,,,,,,,,
478,The Master of Hestviken,Sigrid Undset,,Norway,The Master of Hestviken,,,,,,,,
